
# Surface 0 of 1 surfaces

# Curve title: ""calculusAndAnalyticGeometry_contourtmp4.dat""
# Contour 0, label:      1.2
 1 -2  1.2 

-2 -1  1.2 

 2  1  1.2 

-1  2  1.2 


# Contour 1, label:        1
-1.6 -1.46823  0.2 
-1.62784 -1.5  0.2 
-1.7 -1.5769  0.2 
-1.72041 -1.6  0.2 
-1.8 -1.68448  0.2 
-1.81382 -1.7  0.2 
-1.9 -1.79117  0.2 
-1.90791 -1.8  0.2 
-2 -1.89713  0.2 

 2  1.89713  0.2 
 1.90791  1.8  0.2 
 1.9  1.79117  0.2 
 1.81382  1.7  0.2 
 1.8  1.68448  0.2 
 1.72041  1.6  0.2 
 1.7  1.5769  0.2 
 1.62784  1.5  0.2 
 1.6  1.46823  0.2 
 1.53625  1.4  0.2 
 1.5  1.35823  0.2 
 1.44586  1.3  0.2 
 1.4  1.24655  0.2 
 1.35697  1.2  0.2 
 1.3  1.13273  0.2 
 1.26996  1.1  0.2 
 1.2  1.0161  0.2 
 1.18535  1  0.2 
 1.10372  0.9  0.2 
 1.1  0.894727  0.2 
 1.02553  0.8  0.2 
 1  0.761882  0.2 
 0.953151  0.7  0.2 
 0.9  0.614616  0.2 
 0.889507  0.6  0.2 
 0.83958  0.5  0.2 
 0.816267  0.4  0.2 
 0.854535  0.3  0.2 
 0.9  0.26979  0.2 
 1  0.223365  0.2 
 1.07221  0.2  0.2 
 1.1  0.193942  0.2 
 1.2  0.175133  0.2 
 1.3  0.159854  0.2 
 1.4  0.147168  0.2 
 1.5  0.136442  0.2 
 1.6  0.127243  0.2 
 1.7  0.119256  0.2 
 1.8  0.112248  0.2 
 1.9  0.106047  0.2 
 2  0.100517  0.2 

-1.89713  2  0.2 
-1.8  1.90791  0.2 
-1.79117  1.9  0.2 
-1.7  1.81382  0.2 
-1.68448  1.8  0.2 
-1.6  1.72041  0.2 
-1.5769  1.7  0.2 
-1.5  1.62784  0.2 
-1.46823  1.6  0.2 
-1.4  1.53625  0.2 
-1.35823  1.5  0.2 
-1.3  1.44586  0.2 
-1.24655  1.4  0.2 
-1.2  1.35697  0.2 
-1.13273  1.3  0.2 
-1.1  1.26996  0.2 
-1.0161  1.2  0.2 
-1  1.18535  0.2 
-0.9  1.10372  0.2 
-0.894727  1.1  0.2 
-0.8  1.02553  0.2 
-0.761882  1  0.2 
-0.7  0.953151  0.2 
-0.614616  0.9  0.2 
-0.6  0.889507  0.2 
-0.5  0.83958  0.2 
-0.4  0.816267  0.2 
-0.3  0.854535  0.2 
-0.26979  0.9  0.2 
-0.223365  1  0.2 
-0.2  1.07221  0.2 
-0.193942  1.1  0.2 
-0.175133  1.2  0.2 
-0.159854  1.3  0.2 
-0.147168  1.4  0.2 
-0.136442  1.5  0.2 
-0.127243  1.6  0.2 
-0.119256  1.7  0.2 
-0.112248  1.8  0.2 
-0.106047  1.9  0.2 
-0.100517  2  0.2 


# Contour 6, label:        0
-2 -2  0 
-1.9 -1.9  0 
-1.8 -1.8  0 
-1.7 -1.7  0 
-1.6 -1.6  0 
-1.5 -1.5  0 
-1.4 -1.4  0 
-1.3 -1.3  0 
-1.2 -1.2  0 
-1.1 -1.1  0 
-1 -1  0 
-0.9 -0.9  0 
-0.8 -0.8  0 
-0.7 -0.7  0 
-0.6 -0.6  0 
-0.5 -0.5  0 
-0.4 -0.4  0 
-0.3 -0.3  0 
-0.2 -0.2  0 
-0.1 -0.1  0 
 0 -0.2  0 
 0 -0.3  0 
 0 -0.4  0 
 0 -0.5  0 
 0 -0.6  0 
 0 -0.7  0 
 0 -0.8  0 
 0 -0.9  0 
 0 -1  0 
 0 -1.1  0 
 0 -1.2  0 
 0 -1.3  0 
 0 -1.4  0 
 0 -1.5  0 
 0 -1.6  0 
 0 -1.7  0 
 0 -1.8  0 
 0 -1.9  0 
 0 -2  0 

 2  0  0 
 1.9  0  0 
 1.8  0  0 
 1.7  0  0 
 1.6  0  0 
 1.5  0  0 
 1.4  0  0 
 1.3  0  0 
 1.2  0  0 
 1.1  0  0 
 1  0  0 
 0.9  0  0 
 0.8  0  0 
 0.7  0  0 
 0.6  0  0 
 0.5  0  0 
 0.4  0  0 
 0.3  0  0 
 0.2  0  0 
 0.1 -0.1  0 
 0.2 -0.2  0 
 0.3 -0.3  0 
 0.4 -0.4  0 
 0.5 -0.5  0 
 0.6 -0.6  0 
 0.7 -0.7  0 
 0.8 -0.8  0 
 0.9 -0.9  0 
 1 -1  0 
 1.1 -1.1  0 
 1.2 -1.2  0 
 1.3 -1.3  0 
 1.4 -1.4  0 
