
# Surface 0 of 1 surfaces

# Curve title: ""calculusAndAnalyticGeometry_contourtmp9.dat""
# Contour 0, label:        4
 0.865714  1  4 
 0.879643  0.95  4 
 0.892857  0.9  4 
 0.9  0.871429  4 
 0.905068  0.85  4 
 0.916216  0.8  4 
 0.926689  0.75  4 
 0.936486  0.7  4 
 0.945608  0.65  4 
 0.95  0.624  4 
 0.953846  0.6  4 
 0.961218  0.55  4 
 0.967949  0.5  4 
 0.974038  0.45  4 
 0.979487  0.4  4 
 0.984295  0.35  4 
 0.988462  0.3  4 
 0.991987  0.25  4 
 0.994872  0.2  4 
 0.997115  0.15  4 
 0.998718  0.1  4 
 0.999679  0.05  4 
 1  0  4 
 0.999679 -0.05  4 
 0.998718 -0.1  4 
 0.997115 -0.15  4 
 0.994872 -0.2  4 
 0.991987 -0.25  4 
 0.988462 -0.3  4 
 0.984295 -0.35  4 
 0.979487 -0.4  4 
 0.974038 -0.45  4 
 0.967949 -0.5  4 
 0.961218 -0.55  4 
 0.953846 -0.6  4 
 0.95 -0.624  4 
 0.945608 -0.65  4 
 0.936486 -0.7  4 
 0.926689 -0.75  4 
 0.916216 -0.8  4 
 0.905068 -0.85  4 
 0.9 -0.871429  4 
 0.892857 -0.9  4 
 0.879643 -0.95  4 
 0.865714 -1  4 

-0.865714  1  4 
-0.879643  0.95  4 
-0.892857  0.9  4 
-0.9  0.871429  4 
-0.905068  0.85  4 
-0.916216  0.8  4 
-0.926689  0.75  4 
-0.936486  0.7  4 
-0.945608  0.65  4 
-0.95  0.624  4 
-0.953846  0.6  4 
-0.961218  0.55  4 
-0.967949  0.5  4 
-0.974038  0.45  4 
-0.979487  0.4  4 
-0.984295  0.35  4 
-0.988462  0.3  4 
-0.991987  0.25  4 
-0.994872  0.2  4 
-0.997115  0.15  4 
-0.998718  0.1  4 
-0.999679  0.05  4 
-1  0  4 
-0.999679 -0.05  4 
-0.998718 -0.1  4 
-0.997115 -0.15  4 
-0.994872 -0.2  4 
-0.991987 -0.25  4 
-0.988462 -0.3  4 
-0.984295 -0.35  4 
-0.979487 -0.4  4 
-0.974038 -0.45  4 
-0.967949 -0.5  4 
-0.961218 -0.55  4 
-0.953846 -0.6  4 
-0.95 -0.624  4 
-0.945608 -0.65  4 
-0.936486 -0.7  4 
-0.926689 -0.75  4 
-0.916216 -0.8  4 
-0.905068 -0.85  4 
-0.9 -0.871429  4 
-0.892857 -0.9  4 
-0.879643 -0.95  4 
-0.865714 -1  4 


# Contour 1, label:        2
 0.5  1  2 
 0.523214  0.95  2 
 0.545238  0.9  2 
 0.55  0.888571  2 
 0.564674  0.85  2 
 0.582609  0.8  2 
 0.599457  0.75  2 
 0.6  0.748276  2 
 0.614  0.7  2 
 0.6275  0.65  2 
 0.64  0.6  2 
 0.65  0.556522  2 
 0.651389  0.55  2 
 0.661111  0.5  2 
 0.669907  0.45  2 
 0.677778  0.4  2 
 0.684722  0.35  2 
 0.690741  0.3  2 
 0.695833  0.25  2 
 0.7  0.2  2 
 0.703017  0.15  2 
 0.705172  0.1  2 
 0.706466  0.05  2 
 0.706897  0  2 
 0.706466 -0.05  2 
 0.705172 -0.1  2 
 0.703017 -0.15  2 
 0.7 -0.2  2 
 0.695833 -0.25  2 
 0.690741 -0.3  2 
 0.684722 -0.35  2 
 0.677778 -0.4  2 
 0.669907 -0.45  2 
 0.661111 -0.5  2 
 0.651389 -0.55  2 
 0.65 -0.556522  2 
 0.64 -0.6  2 
 0.6275 -0.65  2 
 0.614 -0.7  2 
 0.6 -0.748276  2 
 0.599457 -0.75  2 
 0.582609 -0.8  2 
 0.564674 -0.85  2 
 0.55 -0.888571  2 
 0.545238 -0.9  2 
 0.523214 -0.95  2 
 0.5 -1  2 

-0.5  1  2 
-0.523214  0.95  2 
-0.545238  0.9  2 
-0.55  0.888571  2 
-0.564674  0.85  2 
-0.582609  0.8  2 
-0.599457  0.75  2 
-0.6  0.748276  2 
-0.614  0.7  2 
-0.6275  0.65  2 
-0.64  0.6  2 
-0.65  0.556522  2 
-0.651389  0.55  2 
-0.661111  0.5  2 
-0.669907  0.45  2 
-0.677778  0.4  2 
-0.684722  0.35  2 
-0.690741  0.3  2 
-0.695833  0.25  2 
-0.7  0.2  2 
-0.703017  0.15  2 
-0.705172  0.1  2 
-0.706466  0.05  2 
-0.706897  0  2 
-0.706466 -0.05  2 
-0.705172 -0.1  2 
-0.703017 -0.15  2 
-0.7 -0.2  2 
-0.695833 -0.25  2 
-0.690741 -0.3  2 
-0.684722 -0.35  2 
-0.677778 -0.4  2 
-0.669907 -0.45  2 
-0.661111 -0.5  2 
-0.651389 -0.55  2 
-0.65 -0.556522  2 
-0.64 -0.6  2 
-0.6275 -0.65  2 
-0.614 -0.7  2 
-0.6 -0.748276  2 
-0.599457 -0.75  2 
-0.582609 -0.8  2 
-0.564674 -0.85  2 
-0.55 -0.888571  2 
-0.545238 -0.9  2 
-0.523214 -0.95  2 
-0.5 -1  2 

