
# Surface 0 of 1 surfaces

# Curve title: ""calculusAndAnalyticGeometry_contourtmp7.dat""
# Contour 0, label:        2
 1 -1  2 

-1 -1  2 

 1  1  2 

-1  1  2 


# Contour 1, label:      1.5
-0.582609  0.4  0.5 
-0.6  0.373333  0.5 
-0.614  0.35  0.5 
-0.64  0.3  0.5 
-0.65  0.277273  0.5 
-0.661111  0.25  0.5 
-0.677778  0.2  0.5 
-0.690741  0.15  0.5 
-0.7  0.1  0.5 
-0.705172  0.05  0.5 
-0.706897  0  0.5 
-0.705172 -0.05  0.5 
-0.7 -0.1  0.5 
-0.690741 -0.15  0.5 
-0.677778 -0.2  0.5 
-0.661111 -0.25  0.5 
-0.65 -0.277273  0.5 
-0.64 -0.3  0.5 
-0.614 -0.35  0.5 
-0.6 -0.373333  0.5 
-0.582609 -0.4  0.5 
-0.55 -0.444118  0.5 
-0.545238 -0.45  0.5 
-0.5 -0.5  0.5 
-0.45 -0.545238  0.5 
-0.444118 -0.55  0.5 
-0.4 -0.582609  0.5 
-0.373333 -0.6  0.5 
-0.35 -0.614  0.5 
-0.3 -0.64  0.5 
-0.277273 -0.65  0.5 
-0.25 -0.661111  0.5 
-0.2 -0.677778  0.5 
-0.15 -0.690741  0.5 
-0.1 -0.7  0.5 
-0.05 -0.705172  0.5 
 0 -0.706897  0.5 
 0.05 -0.705172  0.5 
 0.1 -0.7  0.5 
 0.15 -0.690741  0.5 
 0.2 -0.677778  0.5 
 0.25 -0.661111  0.5 
 0.277273 -0.65  0.5 
 0.3 -0.64  0.5 
 0.35 -0.614  0.5 
 0.373333 -0.6  0.5 
 0.4 -0.582609  0.5 
 0.444118 -0.55  0.5 
 0.45 -0.545238  0.5 
 0.5 -0.5  0.5 
 0.545238 -0.45  0.5 
 0.55 -0.444118  0.5 
 0.582609 -0.4  0.5 
 0.6 -0.373333  0.5 
 0.614 -0.35  0.5 
 0.64 -0.3  0.5 
 0.65 -0.277273  0.5 
 0.661111 -0.25  0.5 
 0.677778 -0.2  0.5 
 0.690741 -0.15  0.5 
 0.7 -0.1  0.5 
 0.705172 -0.05  0.5 
 0.706897  0  0.5 
 0.705172  0.05  0.5 
 0.7  0.1  0.5 
 0.690741  0.15  0.5 
 0.677778  0.2  0.5 
 0.661111  0.25  0.5 
 0.65  0.277273  0.5 
 0.64  0.3  0.5 
 0.614  0.35  0.5 
 0.6  0.373333  0.5 
 0.582609  0.4  0.5 
 0.55  0.444118  0.5 
 0.545238  0.45  0.5 
 0.5  0.5  0.5 
 0.45  0.545238  0.5 
 0.444118  0.55  0.5 
 0.4  0.582609  0.5 
 0.373333  0.6  0.5 
 0.35  0.614  0.5 
 0.3  0.64  0.5 
 0.277273  0.65  0.5 
 0.25  0.661111  0.5 

